"No.","Time","Source","Destination","Protocol","Length","Info"
"96536","19.906734","10.1.246.45","222.29.98.58","TCP","1516","[TCP Previous segment not captured] 51020  >  5201 [ACK] Seq=8327852 Ack=1 Win=29312 Len=1374 TSval=1455334691 TSecr=1915939422"
"96537","19.906783","10.1.246.45","222.29.98.58","TCP","1516","51020  >  5201 [ACK] Seq=8329226 Ack=1 Win=29312 Len=1374 TSval=1455334691 TSecr=1915939422"
"96538","19.906829","10.1.246.45","222.29.98.58","TCP","1516","51020  >  5201 [ACK] Seq=8330600 Ack=1 Win=29312 Len=1374 TSval=1455334691 TSecr=1915939422"
"96539","19.906879","10.1.246.45","222.29.98.58","TCP","1508","51020  >  5201 [ACK] Seq=8331974 Ack=1 Win=29312 Len=1374 TSval=1455334691 TSecr=1915939422"
"97949","20.005222","10.1.246.45","222.29.98.58","TCP","1516","51020  >  5201 [ACK] Seq=9049202 Ack=1 Win=29312 Len=1374 TSval=1455334790 TSecr=1915939518"
"102205","20.369448","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=12091238 Ack=1 Win=29312 Len=1374 TSval=1455335152 TSecr=1915939874"
"102209","20.369826","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=12096734 Ack=1 Win=29312 Len=1374 TSval=1455335152 TSecr=1915939874"
"102214","20.370096","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=12104978 Ack=1 Win=29312 Len=1374 TSval=1455335152 TSecr=1915939874"
"102215","20.370284","10.1.246.45","222.29.98.58","TCP","1508","[TCP Retransmission] 51020  >  5201 [ACK] Seq=12107726 Ack=1 Win=29312 Len=1374 TSval=1455335152 TSecr=1915939874"
"105446","20.652346","94.29.98.58","10.1.214.45","LLC","232","U, func=UI; DSAP SNAP Individual, SSAP 0x2a Command"
